14
14
15
dfs
3,3
10,10
9,9
8,8
6,6
5,5
2,2
3,3
1,1
0,0
12,13
14,14
1,9
2,0
3,0
8,9
7,0
4,0
3,3
2,1
0,9
2,4
12,10
6,5
2,3
2,9
4,9
9,4
11,13
14,14
2,3
2,4
7,8
6,8
1,2
3,4
5,6
7,8
9,7
14,13
12,12
11,11
9,9
8,8
7,7
6,6
5,5
4,4
3,3
2,2
1,1
0,0
0,14
0,13
13,13
13,13
13,13
13,13
12,12
12,14
12,14
12,14
11,8
11,8
8,8
8,8
8,8
8,8
5,8
5,8
1,7
2,7
6,8
6,8
6,8
6,9
5,9
2,5
2,7
2,4
2,8
3,7
3,9
2,5
3,9
6,9
6,10
2,12
3,12
7,12
9,1
9,0
7,4
1,9
2,3
2,10
8,10
9,10
11,13
14,12
11,11
14,12
6,7
8,9
8,9
3,9
4,9
5,9
2,9
8,9
10,10
1,14
14,1
14,1
2,5
3,7
4,8
5,7
3,5
2,7
4,9
4,6
8,7
8,9
8,10
12,8
9,5
1,7
5,6
2,8
3,6
3,9
5,7
2,9
10,3
12,13
12,8
8,9
7,0
5,9
3,0
2,0
3,9
4,9
5,0
11,14
13,14
12,14
13,13
12,13
11,8
11,8
5,8
8,7
7,2
5,8
2,9
4,9
5,9
2,9
11,13
7,8
3,9
2,5
4,9
2,9
3,8
8,5
5,8
6,8
8,4
8,9
3,6
7,8
3,2
1,12
13,13
12,14
5,3
3,12
12,14
7,8
8,8
7,0
0,9
0,12
0,6
4,7
11,11
13,14
12,13
1,3
4,7
8,3
6,8
7,8
11,1
11,3
11,5
11,5
11,6
12,3
12,4
12,3
12,5
9,1
9,2
9,3
10,3
10,4
10,5
10,2
10,3
10,5
10,4
10,6
10,7
10,3
10,2
10,8
9,2
14,1
14,2
14,3
14,5
14,6
14,2
14,7
14,2
13,4
14,2
14,6
13,5
14,2
13,1
13,0
12,0
1,0
10,0
10,0
10,0
10,1
10,2
10,4
10,3
10,5
11,2
11,2
1,2
3,4
4,5
5,6
6,7
9,6
9,6
9,7
3,4
2,5
6,7
4,5
6,8
4,2
12,13
13,12
14,14
11,11
10,9
10,12
10,1
10,0
11,0
11,0
11,0
11,0
9,0
8,8
8,8
8,7
8,6
8,5
8,4
8,3
8,2
8,2
8,2
8,2
8,2
2,8
2,8
2,8
2,8
2,8
2,8
1,3
1,3
1,3
1,3
1,3
1,3
2,8
2,8
3,8
3,8
7,8
7,6
7,6
7,10
7,13
7,13
7,13
5,13
5,13
5,13
5,13
5,13
1,13
1,13
1,13
1,13
2,14
2,14
2,14
2,14
3,10
3,10
3,10
3,10
3,10
3,10
4,8
4,8
5,9
5,9
5,10
5,6
7,6
7,0
7,0
2,0
3,8
2,3
3,4
9,8
9,8
9,8
8,8
